pais,sede_id,tipo_red,url
REPUBLIC  OF  THE  PHILIPPINES,EFILI,Instagram,https://www.instagram.com/argentinaenfilipinas/
REPUBLIC  OF  THE  PHILIPPINES,EFILI,Twitter/X,https://twitter.com/argentinaenfili
REPUBLIC  OF  TRINIDAD  AND  TOBAGO,ETRIN,Facebook,https://www.facebook.com/argentinaentrinidadytobago
REPUBLIC  OF  TRINIDAD  AND  TOBAGO,ETRIN,Otra,arg_trinidad_tobago
REPUBLIC  OF  TRINIDAD  AND  TOBAGO,ETRIN,Twitter/X,https://twitter.com/arg_mrec_tt
REPUBLIC  OF  TÜRKIYE,CGEST,Facebook,https://www.facebook.com/argentinaenestambul
REPUBLIC  OF  TÜRKIYE,CGEST,Instagram,https://www.instagram.com/consuladoargentinoenestambul/
REPUBLIC  OF  TÜRKIYE,ETURQ,Twitter/X,https://twitter.com/argentinaenturquia/
REPUBLIC  OF  TÜRKIYE,ETURQ,Twitter/X,https://twitter.com/argenturquia
REPUBLIC  OF  TÜRKIYE,ETURQ,Twitter/X,https://twitter.com/embargenturquia
REPUBLIC  OF  URUGUAY,CCOLO,Facebook,https://www.facebook.com/argentinaencolonia
REPUBLIC  OF  URUGUAY,CMALD,Facebook,https://www.facebook.com/pg/consuladoargentinoenmaldonado/posts/?ref=page_internal
REPUBLIC  OF  URUGUAY,CMALD,Instagram,https://www.instagram.com/consulado_argentino/
REPUBLIC  OF  URUGUAY,CMDEO,Facebook,https://www.facebook.com/argentinaenmontevideo/
REPUBLIC  OF  URUGUAY,CMDEO,Instagram,https://www.instagram.com/consuladoargenmontevideo
REPUBLIC  OF  URUGUAY,CSLTO,Twitter/X,https://twitter.com/consuladoargentinoensalto
REPUBLIC  OF  URUGUAY,EMSUR,Otra,argentinaenuru
REPUBLIC  OF  URUGUAY,EMSUR,Twitter/X,https://twitter.com/argentinaenuru
REPUBLIC  OF  URUGUAY,EMSUR,Twitter/X,https://twitter.com/argentinaenuru
REPUBLIC  OF  URUGUAY,EURUG,Facebook,https://www.facebook.com/argentinaenuru/
REPUBLIC  OF  URUGUAY,EURUG,Instagram,https://www.instagram.com/argentinaenuru/
REPUBLIC  OF  URUGUAY,EURUG,Twitter/X,https://twitter.com/argentinaenuru
ROMANIA,ERUMA,Facebook,https://www.facebook.com/argentinaenrumania
RUSSIAN  FEDERATION,EFRUS,Facebook,https://www.facebook.com/embajadaargentinaenmoscu
RUSSIAN  FEDERATION,EFRUS,Twitter/X,https://twitter.com/embargrusia
SOCIALIST  REPUBLIC  OF  VIETNAM,EVIET,Facebook,https://www.facebook.com/argentinaenvietnam/
SOCIALIST  REPUBLIC  OF  VIETNAM,EVIET,Instagram,https://www.instagram.com/argenvietnam/
STATE  OF  ISRAEL,CGTEL,Facebook,https://www.facebook.com/argentinaenisrael/
STATE  OF  ISRAEL,EISRA,Facebook,https://www.facebook.com/argenisrael
STATE  OF  ISRAEL,EISRA,Twitter/X,https://twitter.com/argenisrael
STATE  OF  KUWAIT,EKUWA,Facebook,https://www.facebook.com/argentinaenkuwait
STATE  OF  PALESTINE,REPAL,Facebook,https://www.facebook.com/argenpalestina
STATE  OF  QATAR,EQATR,Twitter/X,https://twitter.com/embargenqatar
STATE  OF  QATAR,EQATR,Twitter/X,https://twitter.com/embargenqatar
SWISS  CONFEDERATION,EOIRS,Facebook,https://www.facebook.com/argentinaenginebra
SWISS  CONFEDERATION,EOIRS,Instagram,https://www.instagram.com/mision.argentina/
SWISS  CONFEDERATION,EOIRS,Twitter/X,https://twitter.com/argentinaonuomc
SWISS  CONFEDERATION,EOIRS,YouTube,https://www.youtube.com/channel/ucsoschik8j7nfjznpq6k7ag
SYRIAN  ARAB  REPUBLIC,EASIR,Facebook,https://www.facebook.com/embajada-argentina-en-siria-112176794025495
TUNISIAN  REPUBLIC,ETUNE,Facebook,https://www.facebook.com/argentunez/
TUNISIAN  REPUBLIC,ETUNE,Instagram,https://www.instagram.com/embargentinatn
TUNISIAN  REPUBLIC,ETUNE,Twitter/X,https://www.twitter.com/embajadatunez
TUNISIAN  REPUBLIC,ETUNE,YouTube,https://www.youtube.com/channel/uc8kszug1sphrp3r1hgzhjtg
UKRAINE,EUCRA,Facebook,https://www.facebook.com/argentinaenucrania
UKRAINE,EUCRA,Instagram,https://www.instagram.com/argenucrania/
UNITED  ARAB  EMIRATES,EEARB,Facebook,https://www.facebook.com/argentinaenemiratosarabesunidos
UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,CLOND,Instagram,https://www.instagram.com/consuladoargentinoenlondres/
UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,ERUNI,Facebook,https://www.facebook.com/arginuk/
UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,ERUNI,Flickr,https://www.flickr.com/photos/138300767@n07/albums
UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,ERUNI,Instagram,https://www.instagram.com/arginuk/
UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,ERUNI,Twitter/X,https://twitter.com/arginuk
UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,ERUNI,YouTube,https://www.youtube.com/channel/uczagu10f-77sr56kini9-1g/videos?view_as=subscriber
UNITED  MEXICAN  STATES,EMEXI,Facebook,https://www.facebook.com/argenmexico/
UNITED  MEXICAN  STATES,EMEXI,Instagram,https://www.instagram.com/embargenmexico/
UNITED  MEXICAN  STATES,EMEXI,Twitter/X,https://twitter.com/@argenmexico
UNITED  MEXICAN  STATES,EMEXI,YouTube,https://www.youtube.com/user/embaargenmx
UNITED  STATES  OF  AMERICA,CATLA,Facebook,https://facebook.com/argenatlanta
UNITED  STATES  OF  AMERICA,CATLA,Instagram,https://instagram.com/argenatlanta
UNITED  STATES  OF  AMERICA,CATLA,LinkedIn,https://www.linkedin.com/company/argenatlanta
UNITED  STATES  OF  AMERICA,CATLA,Twitter/X,x.com/argenatlanta
UNITED  STATES  OF  AMERICA,CCHIC,Facebook,https://www.facebook.com/argentinaenchicago
UNITED  STATES  OF  AMERICA,CCHIC,Otra,consulado_argentino_chicago
