JPN,Japan,33836.1756271617
KAZ,Kazakhstan,12879.4275257974
KEN,Kenya,1952.30457929636
KGZ,Kyrgyz Republic,2138.22210211478
KHM,Cambodia,2429.74853452838
KIR,Kiribati,2177.70114080416
KNA,St. Kitts and Nevis,22600.4502299468
KOR,"Korea, Rep.",33121.3712885508
KWT,Kuwait,34075.8490439847
LAC,Latin America & Caribbean (excluding high income),10166.928671097
LAO,Lao PDR,2066.94979776957
LBN,Lebanon,3477.72489842684
LBR,Liberia,799.194470229642
LBY,Libya,6172.81246940233
LCA,St. Lucia,13554.7684784933
LCN,Latin America & Caribbean,10838.827948659
LDC,Least developed countries: UN classification,1254.2327931358
LIC,Low income,697.171191535478
LIE,Liechtenstein,207973.617746758
LKA,Sri Lanka,3798.89016573011
LMC,Lower middle income,2443.40827649123
LMY,Low & middle income,5819.84086254913
LSO,Lesotho,916.282970463888
LTE,Late-demographic dividend,12422.7253981593
LTU,Lithuania,27786.0057829276
LUX,Luxembourg,131407.681364513
LVA,Latvia,22675.5786295407
MAC,"Macao SAR, China",67476.5290813306
MAR,Morocco,3771.4462890625
MCO,Monaco,256580.515122745
MDA,Moldova,6799.58594644576
MDG,Madagascar,508.718427705736
MDV,Maldives,12530.3602359683
MEA,"Middle East, North Africa, Afghanistan & Pakistan",6063.05247657864
MEX,Mexico,13826.1306570122
MHL,Marshall Islands,6678.34239060448
MIC,Middle income,6347.75391928372
MKD,North Macedonia,8624.28400232117
MLI,Mali,1035.86242628411
MLT,Malta,40182.4313854634
MMR,Myanmar,1233.19666209269
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2797.40730719316
MNE,Montenegro,12077.3747094687
MNG,Mongolia,5838.63108083902
MOZ,Mozambique,622.985619320596
MRT,Mauritania,2120.82318421747
MUS,Mauritius,11182.186568616
MWI,Malawi,602.343619809252
MYS,Malaysia,11379.0851923557
NAC,North America,79326.9076599571
NAM,Namibia,4187.60500350786
NER,Niger,638.336080723299
NGA,Nigeria,1596.63696129001
NIC,Nicaragua,2609.44492072931
NLD,Netherlands,64572.0059558854
NOR,Norway,87497.3289297342
NPL,Nepal,1382.33055769304
NRU,Nauru,12754.1867566585
NZL,New Zealand,48654.904227478
OED,OECD members,46672.5139916762
OMN,Oman,20972.4830886637
OSS,Other small states,15151.4664915358
PAK,Pakistan,1365.16927410976
PAN,Panama,18686.4050961265
PER,Peru,7887.54185920108
PHL,Philippines,3804.08274131097
PLW,Palau,15899.4246065324
PNG,Papua New Guinea,2966.06830432055
POL,Poland,22145.2643088909
PRE,Pre-demographic dividend,1416.33353040951
PRI,Puerto Rico (US),36948.4036416846
PRT,Portugal,27386.2920595024
PRY,Paraguay,6299.99026533643
PSE,West Bank and Gaza,3455.02852911712
PSS,Pacific island small states,4153.19706628517
PST,Post-demographic dividend,53961.341810452
PYF,French Polynesia,22774.1418988734
QAT,Qatar,80195.8746508549
ROU,Romania,18404.2730871704
RUS,Russian Federation,14159.3876953125
RWA,Rwanda,1027.03446804432
SAS,South Asia,2532.37560051691
SAU,Saudi Arabia,36156.848337701
SDN,Sudan,797.283447265625
SEN,Senegal,1698.03387300843
SGP,Singapore,85412.230345235
SLB,Solomon Islands,2076.10768772563
SLE,Sierra Leone,757.848680560444
SLV,El Salvador,5365.44491399171
SOM,Somalia,597.458854603043
SRB,Serbia,12281.5058488303
SSA,Sub-Saharan Africa (excluding high income),1614.13902501696
SSF,Sub-Saharan Africa,1580.78792757309
SST,Small states,14222.966048012
STP,Sao Tome and Principe,2940.93352926715
SUR,Suriname,5494.07409425517
SVK,Slovak Republic,24673.5482979144
SVN,Slovenia,32610.110922729
SWE,Sweden,55567.0890080496
SWZ,Eswatini,3741.69010745416
SXM,Sint Maarten (Dutch part),38077.5444869761
SYC,Seychelles,18262.7115849287
SYR,Syrian Arab Republic,847.372723418531
TCA,Turks and Caicos Islands,35470.2151608295
TCD,Chad,989.058528968588
TEA,East Asia & Pacific (IDA & IBRD countries),10239.674334039
TEC,Europe & Central Asia (IDA & IBRD countries),12106.9240912296
TGO,Togo,985.697512629974
THA,Thailand,7195.10130919449
TJK,Tajikistan,1178.47990060249
TKM,Turkmenistan,8232.65225980002
TLA,Latin America & the Caribbean (IDA & IBRD countries),10593.1164302324
TLS,Timor-Leste,1502.51964514186
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2792.71457545742
TON,Tonga,4863.76384632192
TSA,South Asia (IDA & IBRD),2532.37560051691
TSS,Sub-Saharan Africa (IDA & IBRD countries),1580.78792757309
TTO,Trinidad and Tobago,18639.259241294
TUN,Tunisia,3950.3753419816
TUR,Turkiye,13105.6585004778
TUV,Tuvalu,6344.7750188689
TZA,Tanzania,1224.48962402344
UGA,Uganda,1002.30913908852
UKR,Ukraine,5139.59814453125
UMC,Upper middle income,10631.3167441564
URY,Uruguay,23019.4221560046
USA,United States,82304.6204272866
UZB,Uzbekistan,2878.96879292451
VCT,St. Vincent and the Grenadines,10582.3656725229
VNM,Viet Nam,4323.35031982451
VUT,Vanuatu,3515.23633611798
WLD,World,13263.6195488046
WSM,Samoa,4330.17840531329
XKX,Kosovo,6221.20365212094
YEM,"Yemen, Rep.",426.354075914615
ZAF,South Africa,6022.54254192335
ZMB,Zambia,1330.72780576709
ZWE,Zimbabwe,2156.03409322984
